route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
35,ILE,35,LIGNE 35,BONDUES NORBERT SEGARD / WATTRELOS CENTRE,3,,008C3C,FFFFFF
10,ILE,10,LIGNE 10,LOMME HEGEL-CHU O LAMBRET/ LILLE FLANDRES,3,,52AE32,FFFFFF
L6,ILE,L6,LIANE 6,FORT DE MONS / V D'ASCQ CONTRESCARPE,3,,307BBF,FFFFFF
L7,ILE,L7,LIANE 7,LILLE PORTE DES POSTES /  FACHES C CIAL,3,,00A6E2,FFFFFF
L8,ILE,L8,LIANE 8,HEM BLANCHISSERIE / TG PONT DE NEUVILLE,3,,27348B,FFFFFF
34,ILE,34,LIGNE 34,ROUBAIX EUROTELEPORT / VDA PONT DE BOIS,3,,008C3C,FFFFFF
62,ILE,62,LIGNE 62,LA BASSÉE GARE <> LOMME ST PHILIBERT,3,,867F34,FFFFFF
63,ILE,63,LIGNE 63,4 CANTONS/CRT LESQUIN/4 CANTONS,3,,008C3C,FFFFFF
L1,ILE,L1,LIANE 1,WAMBRECHIES <> FACHES CENTRE COMMERCIAL,3,,27348B,FFFFFF
L2,ILE,L2,LIANE 2,WATTIGNIES CENTRE CIAL/ LOOS LES OLIVEAUX,3,,00A6E2,FFFFFF
L90,ILE,L90,LIANE 90,COMINES MAIRIE / GARE LILLE EUROPE,3,,00A6E2,FFFFFF
L5,ILE,L5,LIANE 5,MARCQ FERME AUX OIES / HAUBOURDIN LE PARC,3,,307BBF,FFFFFF
18,ILE,18,LIGNE 18,LOMME A FRANCE / V D'ASCQ HÔTEL DE VILLE,3,,867F34,FFFFFF
52,ILE,52,LIGNE 52,LILLE PORTE DE DOUAI - LILLE FIVES,3,,005321,FFFFFF
61,ILE,61,LIGNE 61,LA BASSEE GARE / LOMME SAINT PHILIBERT,3,,005321,FFFFFF
65,ILE,65,LIGNE 65,ARMENTIÈRES GARE / LOMME SAINT PHILIBERT,3,,005321,FFFFFF
CO1,ILE,CO1,COROLLE 1,LILLE CHU EURASANTÉ <> V D'ASCQ HDV,3,,792A4E,FFFFFF
71,ILE,TRAM,TRAMWAY,LILLE <> ROUBAIX / TOURCOING,0,,009FE3,FFFFFF
L3,ILE,L3,LIANE 3,WATTRELOS BEAULIEU / ROUBAIX EUROTÉLÉPORT,3,,307BBF,FFFFFF
ME1,ILE,M1,METRO LIGNE 1,CHU EURASANTÉ <> 4 CANTONS STADE P MAUROY,1,,FDC41F,000000
14,ILE,14,LIGNE 14,MARQUETTE LES VOILES / WATTIGNIES,3,,005321,FFFFFF
53,ILE,53,LIGNE 53,PERENCHIES EUROPE - LILLE BAYART,3,,008C3C,FFFFFF
58,ILE,58,LIGNE 58,SANTES MARAIS/ LOOS EURASANTÉ EPI DE SOIL,3,,52AE32,FFFFFF
64,ILE,64,LIGNE 64,LA BASSÉE GARE / LOMME SAINT PHILIBERT,3,,52AE32,FFFFFF
81,ILE,81,LIGNE 81,QUESNOY BLANCHE PORTE / ARMENTIÈRES GARE,3,,867F34,FFFFFF
L91,ILE,L91,LIANE 91,HALLUIN GOUNOD / GARE LILLE EUROPE,3,,27348B,FFFFFF
15,ILE,15,LIGNE 15,LESQUIN / LILLE PORTE DE DOUAI,3,,867F34,FFFFFF
CO2,ILE,CO2,COROLLE 2,PÉRENCHIES EUROPE / LILLE CHU-EURASANTÉ,3,,E6332A,FFFFFF
CO3,ILE,CO3,COROLLE 3,ENGLOS C CIAL <> VILLENEUVE D'ASCQ HDV,3,,A91D30,FFFFFF
L92,ILE,L92,LIANE 92,LILLE PORTE DES POSTES / SECLIN CH,3,,27348B,FFFFFF
L99,ILE,L99,LIANE 99,ARMENTIÈRES LE BIZET / LOMME ST PHILIBERT,3,,00A6E2,FFFFFF
MWR,ILE,MWR,LIGNE MWR,ROUBAIX EUROTELEPORT / MOUSCRON GARE,3,,005321,FFFFFF
67,ILE,67,LIGNE 67,VENDEVILLE / LILLE PORTE DE DOUAI,3,,008C3C,FFFFFF
80,ILE,80,LIGNE 80,ERQUINGHEM-LYS / LOMME SAINT PHILIBERT,3,,005321,FFFFFF
N1,ILE,N1,LIGNE DE NUIT,LILLE PORTE DE DOUAI / V D'ASCQ 4 CANTONS,3,,3A2757,FFFFFF
86,ILE,86,LIGNE 86,COMINES GARE / GARE LILLE EUROPE,3,,005321,FFFFFF
68,ILE,68,LIGNE 68,VDA 4 CANTONS STADE P MAUROY / 4 CANTONS,3,,52AE32,FFFFFF
55,ILE,55,LIGNE 55,CHU-EURASANTÉ/ SECLIN LE RIEZ - SECLIN CH,3,,008C3C,FFFFFF
51,ILE,51,LIGNE 51,VERLINGHEM - LAMBERSART / GLF,3,,867F34,FFFFFF
36,ILE,36,LIGNE 36,CROIX ST PIERRE /  FOREST RUE DE TRESSIN,3,,005321,FFFFFF
88,ILE,88,LIGNE 88,COMINES - WAMBRECHIES / GARE LILLE EUROPE,3,,867F34,FFFFFF
S12,ILE,S12,LIGNE SCOLAIRE S12,DESSERTE DES ETS SCOLAIRES COMINES F ET B,3,,C8C8C8,000000
S07,ILE,S07,LIGNE SCOLAIRE S07,ETS SCOLAIRES BONDUES / MOUVAUX,3,,C8C8C8,000000
S08,ILE,S08,LIGNES SCOLAIRE S08,COMINES/STE MARIE - INST LA CROIX BLANCHE,3,,C8C8C8,000000
S09,ILE,S09,LIGNES SCOLAIRE S09,QUESNOY/STE MARIE - CROIX BLANCHEGAMBETTA,3,,C8C8C8,000000
S11,ILE,S11,LIGNE SCOLAIRE S11,LINSELLES - PH DE COMMYNES,3,,C8C8C8,000000
S13,ILE,S13,LIGNE SCOLAIRE S13,BOUSBECQUE CAT / LP HALLUIN COLBRAS,3,,C8C8C8,000000
S43,ILE,S43,LIGNE SCOLAIRE S43,HEM BLANCHISSERIE / LEERS COLLEGE DAUDET,3,,C8C8C8,000000
S50,ILE,S50,LIGNE SCOLAIRE S50,WERVICQ CURIE / LINSELLES COLLÈGE MATISSE,3,,C8C8C8,000000
S86,ILE,S86,LIGNE SCOLAIRE S86,TOUFFLERS-LANNOY/COLL ST JOSEPH WATTRELOS,3,,C8C8C8,000000
74F,ILE,74F,LIGNE 74F,ARMENTIERES GARE <> LA BASSEE GARE,3,,9BCEA4,000000
75F,ILE,75F,LIGNE 75F,LOMME SAINT PHILIBERT <> COMINES GARE,3,,A5CEA4,000000
F11,ILE,F11,LIGNE F11,LA MADELEINE SCRIVES <> MARCQ LAZARO,3,,DBB3D6,000000
F14,ILE,F14,LIGNE F14,VENDEVILLE EGLISE <> NOYELLES GRAND PLACE,3,,DBB3D6,000000
F2,ILE,F2,LIGNE F2,FRELINGHIEN BON COIN <> QUESNOY MAIRIE,3,,D1B3D6,000000
F5,ILE,F5,LIGNE F5,HOUPLIN ANCOINE D'ENDRUMETZ<>SANTES GARE,3,,D1B3D6,000000
F7,ILE,F7,LIGNE F7,BAUVIN STADE<>SAINGHIN GARE DE DON,3,,DBB3D6,000000
F6,ILE,F6,LIGNE F6,SAINGHIN GARE DE DON<>SECLIN GARE,3,,D1B3D6,000000
A2,ILE,A2,LIGNE A2,V. D'ASCQ 4 CANTONS <> CRT 4,3,,F5B3C4,000000
A1,ILE,A1,LIGNE A1,TOURCOING CENTRE <> BONDUES RAVENNES,3,,F5B3C4,000000
A3,ILE,A3,LIGNE A3,TOURCOING PONT DE NEUVILLE<>RONCQ CIT3,3,,F5B3C4,000000
A4,ILE,A4,LIGNE A4,LOMME MAISON DES ENFANTS<> PLATEFORME 1,3,,F5B3C4,000000
F13,ILE,F13,LIGNE F13,LOMME MITTERIE<>FORT DE LOMPRET,3,,DBB3D6,000000
E4F,ILE,E4F,LIGNE E4F,LEERS COEUR VILLE<>V.D'ASCQ PONT DE BOIS,3,,F7AC6F,000000
F15,ILE,F15,LIGNE F15,SAINT ANDRÉ GARE <> VERLINGHEM MAIRIE,3,,DBB3D6,000000
32,ILE,32,LIGNE 32,VDA HÔTEL DE VILLE/ WASQUEHAL JP SARTRE,3,,005321,FFFFFF
87,ILE,87,LIGNE 87,LINSELLES CIMETIÈRE / TOURCOING CENTRE,3,,867F34,FFFFFF
84,ILE,84,LIGNE 84,COMINES GLYCINES / TOURCOING CENTRE,3,,52AE32,FFFFFF
30,ILE,30,LIGNE 30,WASQUEHAL JP SARTRE / TOURCOING CENTRE,3,,52AE32,FFFFFF
33,ILE,33,LIGNE 33,LEERS COEUR DE VILLE / TOURCOING EINSTEIN,3,,867F34,FFFFFF
66,ILE,66,LIGNE 66,4 CANTONS - FOREST EGLISE,3,,867F34,FFFFFF
75,ILE,75,LIGNE 75,COMINES GARE / LOMME ST PHILIBERT,3,,52AE32,FFFFFF
82,ILE,82,LIGNE 82,ARMENTIÈRES / TOURCOING PONT DE NEUVILLE,3,,008C3C,FFFFFF
L4,ILE,L4,LIANE 4,HALLUIN GOUNOD / LEERS CENTRE CCIAL,3,,307BBF,FFFFFF
ME2,ILE,M2,METRO LIGNE 2,SAINT PHILIBERT <> C.H. DRON,1,,E30613,FFFFFF
50,ILE,50,LIGNE 50,MARCQ COLLÈGE / ST ANDRÉ CH. DE  MESSINES,3,,008C3C,FFFFFF
76,ILE,76,LIGNE 76,QUESNOY BLANCHE PORTE/LOMME ST PHILIBERT,3,,005321,FFFFFF
72,ILE,72,LIGNE 72,LEERS - BAISIEUX / VDA 4 CANTONS,3,,005321,FFFFFF
31,ILE,31,LIGNE 31,RBX EUROTÉLÉPORT <> WATTRELOS BEAULIEU,3,,52AE32,FFFFFF
E2,ILE,E2,EXPRESS 2,COMINES GARE / TOURCOING LYCÉE GAMBETTA,3,,EE7203,FFFFFF
S44,ILE,S44,LIGNE SCOLAIRE S44,ROUBAIX EUROTÉLÉPORT - LEERS NORD BELGIQU,3,,C8C8C8,000000
S87,ILE,S87,LIGNE SCOLAIRE S87,WATTRELOS  BEAULIEU/FOCH - HEM LA VALLÉE,3,,C8C8C8,000000
C2,ILE,C2,LIGNE CITADINE 2,FORT DE MONS / V D'ASCQ HÔTEL DE VILLE,3,,E83181,FFFFFF
C7,ILE,C7,LIGNE CITADINE 7,LILLE FIVES / LILLE ZI HELLU-EPINE,3,,E83181,FFFFFF
S30,ILE,S30,LIGNE SCOLAIRE S30,LILLE-HELLEMMES / COLLÈGE SAINT EXUPÉRY,3,,C8C8C8,000000
S45,ILE,S45,LIGNE S45,LEZENNES- RONCHIN / COLLÈGE CHARLEMAGNE,3,,C8C8C8,000000
S46,ILE,S46,LIGNE SCOLAIRE S46,WATTIGNIES / LESQUIN COLLÈGE CHARLEMAGNE,3,,C8C8C8,000000
S47,ILE,S47,LIGNE SCOLAIRE S47,WATTIGNIES / LESQUIN COLLÈGE CHARLEMAGNE,3,,C8C8C8,000000
S75,ILE,S75,LIGNE SCOLAIRE S75,V D'ASCQ CHAPPE / COLLÈGE MOLIÈRE,3,,C8C8C8,000000
S76,ILE,S76,LIGNE SCOLAIRE S76,TOUFFLERS / ENSEMBLE SCOLAIRE ST ADRIEN,3,,C8C8C8,000000
S77,ILE,S77,LIGNE SCOLAIRE S77,WASQUEHAL / ENSEMBLE SCOLAIRE ST ADRIEN,3,,C8C8C8,000000
S78,ILE,S78,LIGNE SCOLAIRE S78,WILLEMS / ENSEMBLE SCOLAIRE ST ADRIEN,3,,C8C8C8,000000
S79,ILE,S79,LIGNE SCOLAIRE S79,HEM ST-PAUL / ENSEMBLE SCOLAIRE ST ADRIEN,3,,C8C8C8,000000
S84,ILE,S84,LIGNE SCOLAIRE S84,HOUPLIN ANCOISNE / COLLÈGE VOLTAIRE,3,,C8C8C8,000000
S85,ILE,S85,LIGNE SCOLAIRE S85,TEMPLEMARS / COLLÈGE VOLTAIRE WATTIGNIES,3,,C8C8C8,000000
C4,ILE,C4,CITADINE D'ARMENTIÈRES,ARMENTIÈRES RÉSISTANTS / GUSTAVE DRON,3,,E83181,FFFFFF
74,ILE,74,LIGNE 74,ARMENTIÈRES GARE / LA BASSÉE GARE,3,,008C3C,FFFFFF
E3,ILE,E3,EXPRESS 3,WERVICQ CURIE/ARMENTIÈRES COLLÈGE ROSTAND,3,,EE7203,FFFFFF
S01,ILE,S01,LIGNE SCOLAIRE S01,SALOMÉ / INSTITUTION STE MARIE H BOIDIN,3,,C8C8C8,000000
S02,ILE,S02,LIGNE SCOLAIRE S02,MARQUILLIES - FOURNES/ STE MARIE H BOIDIN,3,,C8C8C8,000000
S03,ILE,S03,LIGNE SCOLAIRE S03,ILLIES - HERLIES / STE MARIE H BOIDIN,3,,C8C8C8,000000
S15,ILE,S15,LIGNE SCOLAIRE S15,SANTES FAIDHERBE / COLLÈGE JULES FERRY,3,,C8C8C8,000000
S16,ILE,S16,LIGNE SCOLAIRE S16,SANTES MARAIS / COLLÈGE JULES FERRY,3,,C8C8C8,000000
S17,ILE,S17,LIGNE SCOLAIRE S17,HAUBOURDIN - EMMERIN /COLLEGE JULES FERRY,3,,C8C8C8,000000
S18,ILE,S18,LIGNE SCOLAIRE S18,LOMME LA ¨PHALECQUE / COLLÈGE JULES FERRY,3,,C8C8C8,000000
S20,ILE,S20,LIGNE SCOLAIRE S20,LA BASSÉE /COLLÈGE LE PARC- LYCÉE BEAUPRÉ,3,,C8C8C8,000000
S21,ILE,S21,LIGNE SCOLAIRE S21,AUBERS /  COLLÈGE LE PARC - LYCÉE BEAUPRÉ,3,,C8C8C8,000000
S24,ILE,S24,LIGNE SCOLAIRE S24,LILLE CHU EURASANTÉ / LYCÉE BEAUPRÉ,3,,C8C8C8,000000
S22,ILE,S22,LIGNE SCOLAIRE S22,SECLIN APOLDA / LYCÉE BEAUPRÉ CANTERAINE,3,,C8C8C8,000000
S23,ILE,S23,LIGNE SCOLAIRE S23,LOMME MAISON DES ENFANTS / LYCÉE BEAUPRÉ,3,,C8C8C8,000000
S25,ILE,S25,LIGNE SCOLAIRE S25,SALOMÉ RÉPUBLIQUE / LYCÉE BEAUPRÉ,3,,C8C8C8,000000
F16,ILE,F16,LIGNE F16,V D'ASCQ 4 CANTONS  - TERRITOIRE EST,3,,A3C4E9,000000
F17,ILE,F17,LIGNE F17,LILLE CHU-EURASANTÉ - SUD MEL,3,,A3C4E9,000000
F18,ILE,F18,LIGNE F18,LOMME SAINT PHILIBERT - OUEST MEL,3,,A3C4E9,000000
F19,ILE,F19,LIGNE F19,LES PRÉS E PISANI - NORD TOURCOING,3,,A3C4E9,000000
F20,ILE,F20,LIGNE F20,LES PRÉS E PISANI - SUD-EST ROUBAISIEN,3,,A3C4E9,000000
F10,ILE,F10,LIGNE F10,WEPPES - WAVRIN / HAUBOURDIN / LILLE,3,,DBB3D6,000000
F3,ILE,F3,LIGNE F3,WILLEMS - BAISIEUX GARE,3,,D1B3D6,000000
F1,ILE,F1,LIGNE F1,ARMENTIÈRES GARE - QUESNOY BLANCHE PORTE,3,,D1B3D6,000000
F8,ILE,F8,LIGNE F8,ILLIES CENTRE - SAINGHIN GARE DE DON,3,,DBB3D6,000000
F9,ILE,F9,LIGNE F9,AUBERS EGLISE - WAVRIN GARE,3,,DBB3D6,000000
F4,ILE,F4,LIGNE F4,SAINGHIN EN M - 4 CANTONS - FRETIN,3,,D1B3D6,000000
61F,ILE,61F,LIGNE 61F,LA BASSÉE GARE / LOMME SAINT PHILIBERT,3,,9BCE9A,000000
62F,ILE,62F,LIGNE 62F,LA BASSÉE GARE / LOMME SAINT PHILIBERT,3,,9BCEA4,000000
64F,ILE,64F,LIGNE 64F,LA BASSÉE GARE / LOMME SAINT PHILIBERT,3,,9BCEA4,000000
65F,ILE,65F,LIGNE 65F,ARMENTIÈRES GARE / LOMME ST PHILIBERT,3,,9BCEA4,000000
S34,ILE,S34,LIGNE SCOLAIRE S34,WICRES-MARQUILLIES / ETS DE LA BASSÉE,3,,C8C8C8,000000
S35,ILE,S35,LIGNE SCOLAIRE S35,CHU EURASANTÉ / LA BASSÉE LP BOILLY,3,,C8C8C8,000000
S31,ILE,S31,LIGNE SCOLAIRE S31,ARMENTIÈRES GARE - WEZ MACQUART/ SALENGRO,3,,C8C8C8,000000
S33,ILE,S33,LIGNE SCOLAIRE S33,HERLIES-AUBERS-FOURNES / ETS DE LA BASSÉE,3,,C8C8C8,000000
S40,ILE,S40,LIGNE SCOLAIRE S40,WAMBRECHIES CHÂTEAU /  LYCÉE JEAN PERRIN,3,,C8C8C8,000000
S41,ILE,S41,LIGNE SCOLAIRE S41,PRÉMESQUES - VERLINGHEM/LYCÉE JEAN PERRIN,3,,C8C8C8,000000
S52,ILE,S52,LIGNE SCOLAIRE S52,LA BASSÉE/ LOOS ISV - LILLE CHU EURASANTÉ,3,,C8C8C8,000000
S90,ILE,S90,LIGNE SCOLAIRE S90,MARQUILLLIES-SAINGHIN-DON /COLLÈGE WAVRIN,3,,C8C8C8,000000
S56,ILE,S56,LIGNE SCOLAIRE S56,BONDUES JACQUES PRÉVERT/MARCQ INSTITUTION,3,,C8C8C8,000000
S57,ILE,S57,LIGNE SCOLAIRE S57,RONCQ PIED DE BOEUF / MARCQ INSTITUTION,3,,C8C8C8,000000
S58,ILE,S58,LIGNE SCOLAIRE S58,TCG PONT HYDRAULIQUE/MARCQ INSTITUTION,3,,C8C8C8,000000
S59,ILE,S59,LIGNE SCOLAIRE S59,V D'ASCQ LE SART / MARCQ INSTITUTION,3,,C8C8C8,000000
S70,ILE,S70,LIGNE SCOLAIRE S70,SAINT ANDRÉ MESSINES/COLLÈGE DEBEYRE,3,,C8C8C8,000000
S71,ILE,S71,LIGNE SCOLAIRE S71,WAMBRECHIES CHÂTEAU / COLLÈGE DEBEYRE,3,,C8C8C8,000000
S72,ILE,S72,LIGNE SCOLAIRE S72,BONDUES PAUL VERLAINE / COLLÈGE DEBEYRE,3,,C8C8C8,000000
P1,ILE,P1,PROXIMO VIEUX LILLE,LILLE RIHOUR/LILLE RIHOUR,3,,6E368C,FFFFFF
P3,ILE,P3,PROXIMO 3,MARCQ PAVÉ STRATÉGIQUE / PAVÉ STRATÉGIQUE,3,,6E368C,FFFFFF
E5,ILE,E5,EXPRESS 5,GARE LILLE FLANDRES <> COMINES GARE,3,,EE7203,FFFFFF
S55,ILE,S55,LIGNE SCOLAIRE S55,COLLÈGFE GAMBETTA LEERS - WILLEMS PUREUR,3,,C8C8C8,000000
C6,ILE,C6,CITADINE DE WATTRELOS,WATTRELOS  BEAULIEU / TOURCOING CENTRE,3,,E83181,FFFFFF
L9,ILE,L9,LIANE 9,TOUFFLERS DOUANE <> ROUBAIX EUROTÉLÉPORT,3,,00A6E2,FFFFFF
E1,ILE,E1,EXPRESS 1,HALLUIN GOUNOD / GARE LILLE EUROPE,3,,EE7203,FFFFFF
E4,ILE,E4,EXPRESS 4,VDA PONT DE BOIS <>LEERS COEUR DE VILLE,3,,EE7203,FFFFFF
P2,ILE,P2,PROXIMO 2,TOURCOING CLINQUET<>TOURCOING CENTRE,3,,6E368C,FFFFFF
P4,ILE,P4,PROXIMO 4,WASQUEHAL JP SARTRE / CROIX ST PIERRE,3,,6E368C,FFFFFF
P5,ILE,P5,PROXIMO 5,ROUBAIX EUROTELEPORT / HEM LA VALLÉE,3,,6E368C,FFFFFF
P6,ILE,P6,PROXIMO 6,HALLUIN HÔTEL DE VILLE/HALLUIN HDV,3,,6E368C,FFFFFF
38,ILE,38,LIGNE 38,NEUVILLE-EN-F RECKEM<>TOURCOING GARE,3,,867F34,FFFFFF
C5,ILE,C5,CITADINE 5,WATTRELOS CENTRE <> ROUBAIX FRATERNITÉ,3,,E83181,FFFFFF
C3,ILE,C3,CITADINE 3,TOURCOING CENTRE / TOURCOING CENTRE,3,,E83181,FFFFFF
C1,ILE,C1,CITADINE DE LILLE,LILLE PORTE DES POSTES/PORTE DES POSTES,3,,E83181,FFFFFF
